order_id,user_id,status,gender,created_at,returned_at,shipped_at,delivered_at,num_of_item
22,22,Cancelled,F,2022-04-12 03:14:00+00:00,,,,4
34,30,Cancelled,F,2025-07-02 02:58:00+00:00,,,,2
38,33,Cancelled,F,2019-12-28 18:20:00+00:00,,,,1
40,33,Cancelled,F,2019-11-21 18:20:00+00:00,,,,1
54,40,Cancelled,F,2024-10-29 08:14:00+00:00,,,,1
61,45,Cancelled,F,2022-06-11 03:02:00+00:00,,,,2
90,67,Cancelled,F,2025-06-30 16:36:00+00:00,,,,2
109,82,Cancelled,F,2025-10-01 05:49:00+00:00,,,,1
112,83,Cancelled,F,2023-08-07 12:24:00+00:00,,,,2
113,84,Cancelled,F,2025-05-23 03:26:00+00:00,,,,1
117,86,Cancelled,F,2023-11-27 18:06:00+00:00,,,,1
128,94,Cancelled,F,2025-05-03 15:28:00+00:00,,,,1
137,101,Cancelled,F,2025-04-26 05:30:00+00:00,,,,1
153,114,Cancelled,F,2023-08-19 01:10:00+00:00,,,,1
158,118,Cancelled,F,2025-07-07 10:00:00+00:00,,,,3
159,119,Cancelled,F,2023-09-15 09:03:00+00:00,,,,2
172,131,Cancelled,F,2022-10-14 15:01:00+00:00,,,,2
191,156,Cancelled,F,2025-09-26 02:12:00+00:00,,,,2
198,160,Cancelled,F,2023-10-28 06:24:00+00:00,,,,1
206,164,Cancelled,F,2024-02-24 00:08:00+00:00,,,,1
215,174,Cancelled,F,2023-08-09 07:00:00+00:00,,,,1
225,184,Cancelled,F,2025-03-27 14:24:00+00:00,,,,1
237,193,Cancelled,F,2023-06-15 02:39:00+00:00,,,,1
249,203,Cancelled,F,2024-08-20 14:08:00+00:00,,,,1
259,211,Cancelled,F,2024-12-05 17:05:00+00:00,,,,4
262,213,Cancelled,F,2025-02-19 04:29:00+00:00,,,,1
281,231,Cancelled,F,2023-01-22 03:42:00+00:00,,,,1
304,249,Cancelled,F,2025-08-09 02:24:00+00:00,,,,1
309,252,Cancelled,F,2025-01-04 06:14:00+00:00,,,,2
327,263,Cancelled,F,2021-02-10 07:39:00+00:00,,,,1
336,269,Cancelled,F,2024-10-09 13:18:00+00:00,,,,1
345,272,Cancelled,F,2024-02-22 10:59:00+00:00,,,,1
353,277,Cancelled,F,2025-04-22 03:24:00+00:00,,,,1
356,279,Cancelled,F,2024-05-05 00:13:00+00:00,,,,1
397,307,Cancelled,F,2025-05-22 16:03:00+00:00,,,,1
418,324,Cancelled,F,2023-04-25 06:36:00+00:00,,,,1
428,332,Cancelled,F,2023-06-02 10:09:00+00:00,,,,1
431,334,Cancelled,F,2022-07-21 09:10:00+00:00,,,,1
441,340,Cancelled,F,2023-06-18 01:43:00+00:00,,,,1
448,343,Cancelled,F,2023-06-14 11:27:00+00:00,,,,1
464,355,Cancelled,F,2025-01-16 05:42:00+00:00,,,,1
519,391,Cancelled,F,2025-10-16 03:14:12.618886+00:00,,,,1
541,412,Cancelled,F,2022-10-09 12:17:00+00:00,,,,2
553,421,Cancelled,F,2023-08-27 06:53:00+00:00,,,,1
563,429,Cancelled,F,2025-07-11 07:22:00+00:00,,,,4
585,443,Cancelled,F,2020-01-16 05:11:00+00:00,,,,2
590,449,Cancelled,F,2020-10-05 15:38:00+00:00,,,,1
595,454,Cancelled,F,2020-09-21 04:43:00+00:00,,,,2
598,455,Cancelled,F,2024-01-26 06:41:00+00:00,,,,1
599,455,Cancelled,F,2025-03-15 06:41:00+00:00,,,,1
611,463,Cancelled,F,2022-11-23 15:48:00+00:00,,,,1
672,516,Cancelled,F,2025-02-04 11:33:00+00:00,,,,2
704,544,Cancelled,F,2024-10-04 12:59:00+00:00,,,,1
729,562,Cancelled,F,2023-08-24 15:25:00+00:00,,,,2
730,562,Cancelled,F,2023-12-19 15:25:00+00:00,,,,1
747,577,Cancelled,F,2022-12-13 03:07:00+00:00,,,,3
749,579,Cancelled,F,2025-08-27 09:02:00+00:00,,,,2
763,590,Cancelled,F,2025-07-23 03:04:00+00:00,,,,1
768,595,Cancelled,F,2025-07-26 17:48:00+00:00,,,,1
808,628,Cancelled,F,2024-11-24 14:47:00+00:00,,,,1
822,641,Cancelled,F,2023-05-11 10:06:00+00:00,,,,2
826,644,Cancelled,F,2025-09-14 00:00:00+00:00,,,,1
834,652,Cancelled,F,2023-03-17 12:57:00+00:00,,,,1
840,658,Cancelled,F,2023-06-21 17:58:00+00:00,,,,1
843,659,Cancelled,F,2023-08-04 13:22:00+00:00,,,,2
853,668,Cancelled,F,2024-05-04 00:34:00+00:00,,,,1
854,669,Cancelled,F,2024-12-29 18:39:00+00:00,,,,1
870,684,Cancelled,F,2025-06-03 00:46:00+00:00,,,,2
886,697,Cancelled,F,2024-08-14 17:00:00+00:00,,,,1
887,697,Cancelled,F,2025-04-01 17:00:00+00:00,,,,2
922,723,Cancelled,F,2023-10-23 02:26:00+00:00,,,,1
924,724,Cancelled,F,2025-10-17 06:28:18.199976+00:00,,,,1
926,724,Cancelled,F,2025-10-17 06:28:18.199976+00:00,,,,1
928,725,Cancelled,F,2021-11-29 14:26:00+00:00,,,,2
930,725,Cancelled,F,2025-06-19 14:26:00+00:00,,,,1
933,729,Cancelled,F,2025-03-26 05:41:00+00:00,,,,1
940,735,Cancelled,F,2025-09-12 05:50:00+00:00,,,,1
943,737,Cancelled,F,2024-09-01 14:48:00+00:00,,,,2
969,761,Cancelled,F,2025-05-25 11:59:00+00:00,,,,1
972,762,Cancelled,F,2022-10-06 03:23:00+00:00,,,,1
981,768,Cancelled,F,2024-09-25 12:21:00+00:00,,,,1
1005,787,Cancelled,F,2025-07-01 01:40:00+00:00,,,,1
1039,812,Cancelled,F,2025-08-18 05:02:00+00:00,,,,1
1045,818,Cancelled,F,2025-02-17 10:47:00+00:00,,,,1
1054,830,Cancelled,F,2023-04-09 07:43:00+00:00,,,,1
1074,843,Cancelled,F,2023-11-21 11:38:00+00:00,,,,1
1101,869,Cancelled,F,2025-10-15 09:42:00+00:00,,,,1
1102,870,Cancelled,F,2025-06-01 13:09:00+00:00,,,,2
1114,878,Cancelled,F,2025-09-25 00:09:00+00:00,,,,1
1154,905,Cancelled,F,2023-02-11 14:42:00+00:00,,,,1
1177,925,Cancelled,F,2021-04-16 07:46:00+00:00,,,,2
1197,942,Cancelled,F,2025-04-04 07:03:00+00:00,,,,1
1207,947,Cancelled,F,2021-03-21 13:40:00+00:00,,,,2
1209,948,Cancelled,F,2022-12-10 06:36:00+00:00,,,,1
1212,951,Cancelled,F,2024-12-13 16:19:00+00:00,,,,2
1218,954,Cancelled,F,2024-10-27 16:13:00+00:00,,,,2
1223,957,Cancelled,F,2025-09-09 17:51:00+00:00,,,,1
1230,964,Cancelled,F,2025-09-13 09:12:00+00:00,,,,1
1231,964,Cancelled,F,2023-10-17 09:12:00+00:00,,,,1
1239,972,Cancelled,F,2024-01-30 11:47:00+00:00,,,,1
